;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
20;0,062564;0,06738;0,06368;0,071913;0,06083;0,057514;0,071346;0,070463;0,064597;0,06138;0,063947;0,06458;0,062197;0,064447;0,064763;0,065147;0,06798;0,062947;0,071063;0,06348;0,076746;0,071546;0,06528;0,076863;0,066247;0,063064;0,062614;0,06708;0,073863;0,07538;0,065463;0,07308;0,06763;0,080863;0,081813;0,068113;0,07328;0,085479;0,075796;0,07063;0,077996;0,064097;0,076796;0,064697;0,065247;0,072346;0,07438;0,071746;0,07588
21;0,054902;0,060442;0,062108;0,066044;0,061505;0,058632;0,063156;0,064235;0,061505;0,066489;0,061029;0,07133;0,059457;0,063108;0,063727;0,064394;0,064076;0,069378;0,071171;0,077457;0,059823;0,070409;0,06341;0,061299;0,065124;0,071647;0,056854;0,064854;0,071171;0,082885;0,064949;0,06933;0,072631;0,07014;0,067552;0,074679;0,070663;0,070647;0,059711;0,083091;0,08098;0,074742;0,074219;0,061981;0,07352;0,074139;0,062632;0,066965;0,075012
22;0,055634;0,058179;0,056528;0,068876;0,055452;0,054043;0,054346;0,054043;0,055346;0,058209;0,054058;0,060164;0,056073;0,059315;0,069664;0,056907;0,059876;0,056573;0,061921;0,063906;0,060831;0,069042;0,066785;0,064194;0,063921;0,061028;0,061785;0,062649;0,058634;0,061088;0,065391;0,07136;0,059164;0,058497;0,075603;0,065042;0,061997;0,061997;0,062194;0,068451;0,075406;0,066558;0,068421;0,075406;0,073421;0,072406;0,069451;0,06224;0,069512
23;0,056534;0,051621;0,057505;0,053679;0,057374;0,064867;0,062635;0,058853;0,053795;0,053374;0,054172;0,057997;0,057577;0,05965;0,066591;0,055838;0,057664;0,060563;0,068055;0,054099;0,061229;0,059012;0,059403;0,061621;0,062823;0,059925;0,061635;0,077011;0,05636;0,059244;0,05936;0,060823;0,06065;0,062809;0,054548;0,061765;0,066055;0,06349;0,073678;0,063954;0,06591;0,068171;0,074634;0,068301;0,058273;0,073272;0,065157;0,063722;0,071475
24;0,052539;0,059761;0,055803;0,052095;0,050817;0,050651;0,055095;0,054775;0,056206;0,056206;0,05097;0,049415;0,055317;0,049803;0,055373;0,054803;0,054623;0,051484;0,053998;0,057386;0,051776;0,055442;0,067303;0,054137;0,063025;0,055956;0,064581;0,05747;0,05997;0,061275;0,052359;0,055539;0,066428;0,057303;0,064581;0,056595;0,057095;0,052248;0,058025;0,062803;0,067956;0,056512;0,064067;0,065608;0,057456;0,059998;0,062206;0,057859;0,057609
25;0,049438;0,049558;0,053478;0,054784;0,051651;0,050051;0,051305;0,053638;0,052411;0,052958;0,055291;0,054478;0,053785;0,051905;0,057411;0,051798;0,056238;0,048425;0,052851;0,057011;0,059118;0,055051;0,063851;0,054904;0,053825;0,056598;0,049718;0,058718;0,051878;0,061291;0,061704;0,052238;0,069744;0,051411;0,062318;0,060784;0,054065;0,059464;0,060318;0,056664;0,064117;0,055144;0,058838;0,060891;0,057304;0,052025;0,065557;0,057131;0,058611
26;0,048126;0,048152;0,046588;0,053536;0,04846;0,047203;0,050754;0,048049;0,050908;0,05119;0,049088;0,048075;0,056395;0,052331;0,055754;0,056511;0,050203;0,048793;0,049934;0,052934;0,049524;0,060152;0,049255;0,054293;0,055447;0,049588;0,059549;0,056895;0,049498;0,056382;0,050524;0,059754;0,053113;0,057434;0,054639;0,053652;0,052883;0,050024;0,057229;0,058305;0,055921;0,06028;0,054267;0,056165;0,064228;0,057588;0,054767;0,058587;0,051601
27;0,045097;0,050924;0,045221;0,050146;0,048887;0,045677;0,048307;0,049603;0,048307;0,047393;0,052763;0,04722;0,04885;0,046369;0,047813;0,050998;0,047319;0,047875;0,045801;0,053541;0,052517;0,049418;0,051554;0,050862;0,057479;0,050109;0,054381;0,053159;0,050961;0,054541;0,050788;0,052196;0,048146;0,048504;0,050146;0,05685;0,048665;0,049233;0,049615;0,052912;0,055541;0,056986;0,051331;0,057874;0,058961;0,048825;0,049788;0,062282;0,051047
28;0,050367;0,04532;0,043963;0,046379;0,045891;0,044367;0,045344;0,044951;0,044546;0,044463;0,04576;0,047355;0,047379;0,048046;0,046296;0,049486;0,049593;0,047034;0,052415;0,046713;0,049951;0,047772;0,049165;0,047141;0,047534;0,057057;0,047201;0,04626;0,048713;0,047117;0,050236;0,052808;0,043558;0,049451;0,050451;0,051332;0,054248;0,052212;0,049641;0,049343;0,064736;0,051546;0,054212;0,054403;0,047022;0,053891;0,060474;0,055177;0,052962
29;0,046987;0,043401;0,043998;0,048722;0,043102;0,041976;0,053653;0,04586;0,04147;0,047458;0,042389;0,04447;0,044826;0,044297;0,045642;0,041182;0,045849;0,046274;0,045182;0,04709;0,050217;0,043792;0,04832;0,054872;0,046987;0,048998;0,044918;0,041286;0,045343;0,045596;0,04855;0,051044;0,049493;0,048562;0,044355;0,047596;0,047159;0,049837;0,048102;0,050447;0,059665;0,04778;0,045067;0,049757;0,052067;0,053343;0,054079;0,04732;0,049607
30;0,040721;0,041454;0,040432;0,039843;0,044243;0,042187;0,042821;0,046632;0,042076;0,043154;0,041465;0,042099;0,042065;0,041054;0,04341;0,040432;0,051332;0,051298;0,045021;0,046443;0,046976;0,051209;0,04391;0,04651;0,045321;0,046087;0,046876;0,04321;0,052743;0,045854;0,041421;0,048421;0,053943;0,044476;0,055109;0,051043;0,051243;0,052876;0,045632;0,047132;0,052743;0,043621;0,044132;0,045732;0,043832;0,047865;0,04591;0,045576;0,046821
31;0,042224;0,037203;0,038364;0,040977;0,040138;0,038655;0,041827;0,037622;0,041977;0,038386;0,039837;0,041612;0,045332;0,04402;0,044515;0,041719;0,047235;0,047536;0,044235;0,043289;0,048783;0,046396;0,046418;0,041063;0,042343;0,047171;0,048267;0,04674;0,043289;0,043149;0,041117;0,047149;0,0433;0,047622;0,045138;0,042171;0,048343;0,050289;0,049278;0,047106;0,043353;0,049095;0,044568;0,043966;0,0463;0,044267;0,049009;0,04487;0,048257
32;0,037197;0,038145;0,039801;0,043259;0,039113;0,039843;0,038457;0,039926;0,040499;0,037957;0,040947;0,039957;0,041551;0,038707;0,039572;0,040207;0,038249;0,040259;0,042749;0,040415;0,044811;0,043342;0,040634;0,044759;0,047665;0,045728;0,042436;0,042822;0,043582;0,045582;0,03927;0,04629;0,044374;0,048186;0,039874;0,042082;0,041259;0,042957;0,042467;0,043759;0,046113;0,04429;0,043238;0,050582;0,046874;0,041145;0,043322;0,045613;0,047394
33;0,038575;0,039867;0,038645;0,039807;0,037979;0,041019;0,03811;0,03812;0,036161;0,035857;0,039171;0,033959;0,038373;0,039857;0,036837;0,04115;0,041867;0,036464;0,0381;0,038958;0,045069;0,04114;0,040696;0,041706;0,0421;0,040544;0,041595;0,040847;0,041655;0,045271;0,044443;0,042675;0,040282;0,045625;0,043867;0,041453;0,042372;0,041453;0,046554;0,040817;0,041362;0,041443;0,038989;0,042059;0,049392;0,043473;0,048948;0,042928;0,052574
34;0,034499;0,035773;0,036773;0,038685;0,034921;0,037724;0,037734;0,038087;0,038891;0,03642;0,03696;0,039156;0,037332;0,037695;0,03692;0,038499;0,041979;0,039038;0,038597;0,036254;0,035538;0,040734;0,037558;0,037832;0,03845;0,045744;0,041675;0,045097;0,037568;0,040567;0,040607;0,043989;0,043685;0,039156;0,040744;0,046136;0,037303;0,037666;0,042822;0,039567;0,035401;0,04242;0,043754;0,043371;0,044656;0,04343;0,046587;0,041332;0,04042
35;0,03638;0,036694;0,036742;0,038018;0,034666;0,036808;0,038256;0,038332;0,037037;0,038504;0,038275;0,036104;0,040599;0,038294;0,039723;0,036142;0,036847;0,035704;0,038494;0,037351;0,036304;0,039304;0,036332;0,038599;0,034809;0,039932;0,03837;0,037342;0,039999;0,039208;0,03877;0,040142;0,039551;0,041637;0,036713;0,040323;0,043599;0,038094;0,051818;0,039494;0,041304;0,039942;0,037504;0,05076;0,04098;0,040827;0,041351;0,040161;0,042599
36;0,034481;0,033749;0,036082;0,035092;0,033471;0,034092;0,033175;0,033156;0,036934;0,034406;0,038082;0,034684;0,034268;0,040999;0,033897;0,039999;0,033953;0,037101;0,035277;0,037832;0,035897;0,036036;0,03561;0,038416;0,039888;0,037916;0,038851;0,036471;0,038147;0,037267;0,03886;0,042814;0,03711;0,041851;0,040591;0,03774;0,037138;0,038619;0,039841;0,040304;0,039629;0,038823;0,037675;0,03861;0,041203;0,040388;0,039749;0,039591;0,03861
37;0,032918;0,033765;0,034486;0,03281;0,034621;0,033017;0,036098;0,033873;0,034684;0,036594;0,031522;0,033693;0,036314;0,037386;0,039062;0,033846;0,034846;0,038512;0,036981;0,036143;0,035152;0,038071;0,037458;0,035089;0,033269;0,034738;0,037783;0,03481;0,035666;0,034882;0,037458;0,039738;0,035449;0,038197;0,039702;0,038287;0,036071;0,037125;0,043161;0,03881;0,03572;0,037431;0,03717;0,03781;0,037134;0,039548;0,042242;0,038954;0,043729
38;0,033876;0,034183;0,031999;0,032482;0,033736;0,031789;0,035648;0,033675;0,032332;0,03199;0,033789;0,032789;0,031938;0,036683;0,037894;0,033017;0,035438;0,034841;0,035429;0,035508;0,035771;0,03499;0,038718;0,033999;0,035201;0,03621;0,035236;0,038324;0,035245;0,034394;0,040192;0,035008;0,036148;0,037824;0,039341;0,034753;0,035376;0,03821;0,035227;0,03549;0,034982;0,037543;0,04106;0,037473;0,042262;0,040841;0,039104;0,03578;0,039981
39;0,030632;0,030897;0,032734;0,032931;0,030546;0,031726;0,031016;0,032461;0,033555;0,031221;0,030452;0,032136;0,031179;0,031315;0,031837;0,031392;0,033751;0,032427;0,035085;0,035862;0,036102;0,034426;0,034247;0,040324;0,033777;0,03435;0,036358;0,036281;0,036991;0,033179;0,033059;0,037127;0,033615;0,031529;0,036196;0,031939;0,035085;0,036794;0,035982;0,034965;0,042238;0,034324;0,03999;0,033469;0,036683;0,036324;0,036802;0,036144;0,039153
40;0,031358;0,030658;0,029383;0,030741;0,032016;0,031999;0,033791;0,032833;0,030991;0,032416;0,031116;0,030849;0,034066;0,033916;0,031516;0,035007;0,035091;0,032458;0,032991;0,034049;0,033724;0,034516;0,034699;0,033341;0,034624;0,032291;0,033782;0,035791;0,032216;0,034574;0,032966;0,037066;0,037341;0,033841;0,034891;0,039974;0,030974;0,034274;0,034349;0,036199;0,035491;0,036207;0,033799;0,033966;0,032191;0,035732;0,033141;0,035574;0,034099
41;0,030601;0,030894;0,029129;0,030324;0,033885;0,03152;0,032479;0,029764;0,035715;0,030357;0,032227;0,029064;0,031658;0,032316;0,031251;0,036202;0,032999;0,030487;0,029755;0,030788;0,033064;0,031414;0,032479;0,033284;0,032885;0,034641;0,035292;0,031235;0,032211;0,034641;0,030585;0,034869;0,034674;0,03165;0,034934;0,037406;0,031455;0,03178;0,036284;0,034617;0,041381;0,038072;0,035837;0,034519;0,035251;0,039145;0,033454;0,036324;0,033072
42;0,02838;0,030634;0,029833;0,029452;0,03242;0,031364;0,028214;0,029729;0,030198;0,030333;0,030571;0,031761;0,02942;0,032706;0,031253;0,031245;0,033594;0,03219;0,029983;0,03396;0,029452;0,029722;0,028944;0,029602;0,031071;0,03061;0,033618;0,030682;0,033293;0,035174;0,029364;0,032983;0,029491;0,031015;0,035721;0,032261;0,035348;0,03411;0,034626;0,035269;0,03061;0,034975;0,030952;0,036301;0,035809;0,037626;0,030642;0,031198;0,035793
43;0,0291;0,028821;0,028433;0,028154;0,029209;0,027875;0,029092;0,029961;0,028999;0,031914;0,028627;0,028992;0,027108;0,030364;0,028519;0,033829;0,029837;0,02941;0,031844;0,030867;0,031356;0,031216;0,031309;0,035503;0,030604;0,03248;0,030557;0,034418;0,035565;0,032712;0,033085;0,035084;0,035309;0,03186;0,031573;0,031441;0,032247;0,029891;0,032495;0,030255;0,03241;0,033635;0,030286;0,033371;0,033511;0,032131;0,029387;0,039177;0,032356
44;0,027931;0,029999;0,027992;0,028401;0,028628;0,028499;0,031022;0,02981;0,028484;0,030227;0,02753;0,027984;0,031234;0,028257;0,029522;0,029068;0,029666;0,030355;0,029704;0,03162;0,030681;0,031249;0,031295;0,028999;0,030833;0,028386;0,02906;0,030689;0,029893;0,03059;0,033666;0,02978;0,032855;0,031189;0,030371;0,029658;0,028196;0,032037;0,033446;0,033295;0,032673;0,032537;0,032969;0,031863;0,034651;0,031727;0,032552;0,032961;0,030045
45;0,027459;0,027318;0,02911;0,028436;0,026362;0,026333;0,027436;0,027222;0,026666;0,027422;0,027962;0,027273;0,027725;0,027148;0,030414;0,030844;0,027548;0,029022;0,029496;0,030822;0,029955;0,029918;0,027777;0,02697;0,029866;0,030155;0,028918;0,032792;0,028636;0,029614;0,028614;0,03271;0,03571;0,031251;0,030081;0,032303;0,030192;0,030977;0,031444;0,033636;0,030851;0,031422;0,027992;0,029873;0,03014;0,031466;0,030481;0,029881;0,031933
46;0,028724;0,026188;0,026405;0,026847;0,025912;0,027768;0,027383;0,028586;0,028637;0,027891;0,02784;0,024985;0,028507;0,028405;0,027499;0,027101;0,026789;0,026412;0,028543;0,027659;0,027753;0,029673;0,030637;0,027485;0,029543;0,028891;0,030188;0,03134;0,028652;0,030912;0,030956;0,029862;0,029709;0,030434;0,031536;0,031572;0,028021;0,030238;0,029702;0,029659;0,028717;0,028478;0,02834;0,033246;0,029115;0,030695;0,033354;0,029833;0,028615
47;0,025148;0,028163;0,02507;0,025141;0,025999;0,02646;0,027347;0,026624;0,025616;0,028666;0,027077;0,028198;0,027694;0,02851;0,026985;0,02639;0,026872;0,028772;0,027602;0,027673;0,029389;0,02812;0,027772;0,027134;0,02656;0,027269;0,029184;0,027879;0,027553;0,031269;0,027737;0,027936;0,032843;0,02729;0,029063;0,030886;0,029737;0,02778;0,030304;0,028545;0,029928;0,029709;0,031226;0,032411;0,028574;0,032248;0,030709;0,032283;0,029304
48;0,025444;0,026381;0,024381;0,026111;0,026624;0,026458;0,02577;0,025555;0,027173;0,024458;0,028229;0,025999;0,025895;0,027048;0,026597;0,025534;0,028229;0,027263;0,026861;0,027486;0,02727;0,03002;0,026437;0,027291;0,028062;0,028423;0,026222;0,029152;0,026652;0,026249;0,028034;0,029604;0,02909;0,028173;0,02768;0,028347;0,028541;0,027506;0,028972;0,029631;0,025736;0,03386;0,028673;0,030145;0,029527;0,030242;0,029874;0,031465;0,031152
49;0,024258;0,02555;0,024945;0,025857;0,024612;0,024278;0,026986;0,024231;0,025149;0,024836;0,024809;0,025931;0,025265;0,027142;0,026897;0,025238;0,026244;0,026687;0,024299;0,028176;0,026605;0,029761;0,026823;0,025462;0,030326;0,027612;0,028149;0,027972;0,02655;0,031047;0,027455;0,028292;0,027687;0,027306;0,025945;0,028652;0,029292;0,026503;0,027782;0,027891;0,02904;0,025707;0,030027;0,028285;0,027999;0,028686;0,027047;0,03068;0,028006
50;0,02426;0,02422;0,025753;0,025;0,025426;0,02422;0,026206;0,025446;0,026953;0,029299;0,024966;0,0243;0,027399;0,025699;0,024693;0,02428;0,027153;0,024566;0,025533;0,027519;0,026953;0,025459;0,025113;0,028153;0,028006;0,026846;0,027119;0,030406;0,025966;0,0249;0,026733;0,027493;0,027013;0,026666;0,026499;0,025579;0,030579;0,026506;0,025493;0,027659;0,026706;0,028459;0,027153;0,029066;0,032526;0,028046;0,028493;0,030739;0,026986
51;0,023124;0,024137;0,024581;0,024993;0,026013;0,023176;0,025888;0,02396;0,025248;0,02545;0,023895;0,023294;0,023771;0,026209;0,025934;0,023875;0,024562;0,025849;0,025562;0,026274;0,02762;0,02564;0,025098;0,026111;0,02581;0,02515;0,026601;0,025437;0,030823;0,030307;0,026111;0,025797;0,025777;0,026339;0,02549;0,024947;0,027928;0,028542;0,026392;0,028372;0,026686;0,028914;0,028627;0,028509;0,028228;0,026627;0,029241;0,025764;0,028633
52;0,022339;0,024596;0,023826;0,023762;0,024089;0,024826;0,024833;0,023076;0,024685;0,023685;0,024871;0,025121;0,025775;0,023634;0,02325;0,024935;0,02591;0,024435;0,02407;0,023859;0,024102;0,029948;0,023057;0,023044;0,025358;0,024435;0,024673;0,025711;0,025044;0,026583;0,024897;0,028653;0,025955;0,026012;0,029173;0,024794;0,026442;0,02748;0,027044;0,028269;0,028679;0,027057;0,024288;0,025608;0,025576;0,026999;0,026967;0,030333;0,029403
53;0,022213;0,022396;0,023157;0,023232;0,022522;0,025635;0,023798;0,023018;0,023987;0,023855;0,023138;0,023069;0,025647;0,024188;0,026283;0,024358;0,023496;0,025037;0,026088;0,024345;0,024628;0,025572;0,023584;0,025245;0,02349;0,024779;0,024867;0,025528;0,025037;0,025672;0,023251;0,027333;0,025509;0,028132;0,024993;0,024735;0,02588;0,026333;0,025691;0,027345;0,026106;0,029974;0,026327;0,025918;0,026062;0,024987;0,027484;0,026918;0,025371
54;0,022728;0,023679;0,022611;0,024635;0,023321;0,024123;0,022691;0,023629;0,024672;0,022105;0,025314;0,02387;0,024975;0,023858;0,024049;0,022808;0,022882;0,024382;0,0235;0,024413;0,023395;0,024382;0,024617;0,025043;0,024481;0,02366;0,025679;0,024185;0,025932;0,026833;0,023771;0,025345;0,025537;0,024734;0,024963;0,024901;0,026506;0,024061;0,025901;0,025037;0,024382;0,027283;0,026759;0,027487;0,025882;0,02645;0,02424;0,025308;0,026746
